
DA_building_event.40.t:0 "Mage Tower Specialization"
 DA_building_event.40.d:0 "choose a specialization for this newly built mage tower"
 DA_building_event.40.Abjuration:0 "Mage Tower Specialization: §M Abjuration §!"
 DA_Mage_Tower_Specialization.Abjuration:0 "Mage Tower Specialization: §M Abjuration §!"
 desc_DA_Mage_Tower_Specialization.Abjuration:0 "Mage Tower Specialization: §M Abjuration §!"
 DA_building_event.40.Divination:0 "Mage Tower Specialization: §M Divination §!"
 DA_Mage_Tower_Specialization.Divination:0 "Mage Tower Specialization: §M Divination §!"
 desc_DA_Mage_Tower_Specialization.Divination:0 ""
 DA_building_event.40.Illusion:0 "Mage Tower Specialization: §M Illusion §!"
 DA_Mage_Tower_Specialization.Illusion:0 "Mage Tower Specialization: §M Illusion §!"
 desc_DA_Mage_Tower_Specialization.Illusion:0 ""
 DA_building_event.40.Conjuration:0 "Mage Tower Specialization: §M Conjuration §!"
 DA_Mage_Tower_Specialization.Conjuration:0 "Mage Tower Specialization: §M Conjuration §!"
 desc_DA_Mage_Tower_Specialization.Conjuration:0 ""
 DA_building_event.40.Enchantment:0 "Mage Tower Specialization: §M Enchantment §!"
 DA_Mage_Tower_Specialization.Enchantment:0 "Mage Tower Specialization: §M Enchantment §!"
 desc_DA_Mage_Tower_Specialization.Enchantment:0 ""
 DA_building_event.40.Evocation:0 "Mage Tower Specialization: §M Evocation §!"
 DA_Mage_Tower_Specialization.Evocation:0 "Mage Tower Specialization: §M Evocation §!"
 desc_DA_Mage_Tower_Specialization.Evocation:0 ""
 DA_building_event.40.Transmutation:0 "Mage Tower Specialization: §M Transmutation §!"
 DA_Mage_Tower_Specialization.Transmutation:0 "Mage Tower Specialization: §M Transmutation §!"
 desc_DA_Mage_Tower_Specialization.Transmutation:0 ""
 DA_building_event.40.Necromancy:0 "Mage Tower Specialization: §M Necromancy §!"
 DA_Mage_Tower_Specialization.Necromancy:0 "Mage Tower Specialization: §M Necromancy §!"
 desc_DA_Mage_Tower_Specialization.Necromancy:0 ""
 DA_building_event.40.Elemental_Magic_Fire:0 "Mage Tower Specialization: §M Elemental Magic Fire §!"
 DA_Mage_Tower_Specialization.Elemental_Magic_Fire:0 "Mage Tower Specialization: §M Elemental Magic Fire §!"
 desc_DA_Mage_Tower_Specialization.Elemental_Magic_Fire:0 ""
 DA_building_event.40.Elemental_Magic_Water:0 "Mage Tower Specialization: §M Elemental Magic Water §!"
 DA_Mage_Tower_Specialization.Elemental_Magic_Water:0 "Mage Tower Specialization: §M Elemental Magic Water §!"
 desc_DA_Mage_Tower_Specialization.Elemental_Magic_Water:0 ""
 DA_building_event.40.Elemental_Magic_Earth:0 "Mage Tower Specialization: §M Elemental Magic Earth §!"
 DA_Mage_Tower_Specialization.Elemental_Magic_Earth:0 "Mage Tower Specialization: §M Elemental Magic Earth §!"
 desc_DA_Mage_Tower_Specialization.Elemental_Magic_Earth:0 ""
 DA_building_event.40.Elemental_Magic_Air:0 "Mage Tower Specialization: §M Elemental Magic Air §!"
 DA_Mage_Tower_Specialization.Elemental_Magic_Air:0 "Mage Tower Specialization: §M Elemental Magic Air §!"
 desc_DA_Mage_Tower_Specialization.Elemental_Magic_Air:0 ""
